date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,ACSPn Sicx',55068.0
Unknown,Unknown,06,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Pneculoue Is001 A Incrmcaur,55074.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55086.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55097.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55109.0
Unknown,Unknown,16,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55125.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55137.0
Unknown,Unknown,6,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55143.0
Unknown,Unknown,23,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55166.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55178.0
Unknown,Unknown,30,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55208.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55220.0
Unknown,Unknown,05,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55225.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55237.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55249.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,55261.0
Unknown,Unknown,"955,42",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,150803.0
Unknown,Unknown,"150,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,165803.0
Unknown,Unknown,"450,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,210803.0
Unknown,Unknown,"693,58",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,280161.0
Unknown,Unknown,"25,97",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,282758.0
Unknown,Unknown,"30,05",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,285763.0
Unknown,Unknown,"29,89",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,288752.0
Unknown,Unknown,"518,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,340552.0
Unknown,Unknown,"5,60",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,341112.0
Unknown,Unknown,116,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,341228.0
Unknown,Unknown,3,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,341231.0
Unknown,Unknown,"29,28",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,344159.0
Unknown,Unknown,"228,80",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,367039.0
Unknown,Unknown,"397,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,406739.0
